frame	class	xtl	ytl	xbr	ybr	score
2018-03-23_1358_left/020004	3.27	1895.1895751953125	938.0797729492188	1989.7821044921875	997.7046508789062	0.6901906728744507
2018-03-23_1358_left/020008	3.27	1925.4390869140625	928.8590698242188	2011.0721435546875	989.7704467773438	0.6696547865867615
2018-03-23_1358_left/020012	3.27	1947.6474609375	927.1669311523438	2034.8017578125	991.6039428710938	0.6077865362167358
2018-03-23_1358_left/020014	3.27	1953.8199462890625	929.25390625	2043.3477783203125	989.688720703125	0.7370208501815796
2018-03-23_1358_left/020018	3.27	1986.6571044921875	939.8021850585938	2058.639892578125	992.0983276367188	0.6374407410621643
2018-03-23_1358_left/020024	3.27	2027.77001953125	927.8330078125	2093.41943359375	990.535400390625	0.7933886647224426
2018-03-23_1358_left/020026	3.27	2046.0264892578125	926.6203002929688	2105.267822265625	988.0297241210938	0.7191285490989685
2018-03-23_1358_left/020028	3.27	2045.6171875	937.04248046875	2117.6455078125	997.2630615234376	0.7397999167442322
2018-03-23_1358_left/020030	3.27	2055.5556640625	940.1101684570312	2122.26806640625	999.3490600585938	0.8351016044616699
2018-03-23_1358_left/020032	3.27	2071.2568359375	960.1345825195312	2137.28857421875	1020.3596801757812	0.8352834582328796
2018-03-23_1358_left/020034	3.27	2072.810791015625	969.882568359375	2137.635986328125	1039.69580078125	0.7918657660484314
2018-03-23_1358_left/020036	3.27	2078.254150390625	981.841796875	2149.237060546875	1049.45458984375	0.906181573867798
2018-03-23_1358_left/020038	3.27	2086.5595703125	980.6393432617188	2162.00634765625	1048.3626708984377	0.8863515257835388
2018-03-23_1358_left/020040	3.27	2092.327392578125	956.6837768554688	2170.974365234375	1015.4876098632812	0.8002129793167114
2018-03-23_1358_left/020042	3.27	2105.139892578125	946.5021362304688	2174.781005859375	1010.4774780273438	0.9046466946601868
2018-03-23_1358_left/020042	5.19	2036.52392578125	955.4119262695312	2116.37060546875	1029.1458740234377	0.6084800362586975
2018-03-23_1358_left/020044	3.27	2114.09912109375	899.2012939453125	2188.5771484375	973.10400390625	0.916644811630249
2018-03-23_1358_left/020044	5.19	2053.515869140625	909.39501953125	2136.604736328125	990.8017578125	0.6428183913230896
2018-03-23_1358_left/020046	3.27	2123.068359375	890.8309936523438	2202.154296875	957.2411499023438	0.8870573639869691
2018-03-23_1358_left/020048	3.27	2132.017822265625	932.648193359375	2211.356201171875	1004.918212890625	0.9265018701553344
2018-03-23_1358_left/020048	5.19	2058.341552734375	947.3115844726562	2142.995849609375	1026.189208984375	0.6687611937522888
2018-03-23_1358_left/020050	3.27	2134.033447265625	931.3169555664062	2219.297607421875	995.5645141601562	0.9643183350563048
2018-03-23_1358_left/020050	5.19	2063.625732421875	938.5386962890624	2150.840576171875	1015.6136474609376	0.6530793309211731
2018-03-23_1358_left/020052	3.27	2154.189453125	922.302978515625	2235.68896484375	990.005126953125	0.9026498198509216
2018-03-23_1358_left/020054	3.27	2162.018798828125	921.4963989257812	2246.297607421875	996.2684936523438	0.929989457130432
2018-03-23_1358_left/020056	3.27	2176.480712890625	941.7578735351562	2254.427978515625	1016.3450317382812	0.9184117913246156
2018-03-23_1358_left/020056	5.19	2093.35791015625	955.10595703125	2188.5966796875	1039.577392578125	0.6780672073364258
2018-03-23_1358_left/020058	3.27	2183.496826171875	934.1536865234376	2272.072509765625	1015.2137451171876	0.9253084659576416
2018-03-23_1358_left/020058	5.19	2105.267578125	949.46435546875	2202.55322265625	1039.6424560546877	0.6999422311782837
2018-03-23_1358_left/020060	3.27	2199.36083984375	912.8052978515624	2286.99853515625	992.2666015625	0.9524349570274352
2018-03-23_1358_left/020060	5.19	2115.85791015625	928.5494995117188	2211.96875	1013.9216918945312	0.6844525933265686
2018-03-23_1358_left/020062	1.23	749.6920776367188	912.159423828125	795.7828979492188	952.6351318359376	0.6259289383888245
2018-03-23_1358_left/020062	3.27	2210.024658203125	892.2318115234375	2304.999267578125	983.11572265625	0.8357790112495422
2018-03-23_1358_left/020062	5.19	2129.935791015625	912.4689331054688	2237.103271484375	1006.6239624023438	0.7574518322944641
2018-03-23_1358_left/020064	3.27	2226.32373046875	898.6698608398438	2322.15966796875	989.5855102539062	0.9713468551635742
2018-03-23_1358_left/020066	3.27	2240.948486328125	915.38232421875	2341.869873046875	1002.53125	0.9411276578903198
2018-03-23_1358_left/020066	5.19	2153.412841796875	931.2178344726562	2259.513427734375	1027.2767333984377	0.8388533592224121
2018-03-23_1358_left/020068	3.27	2260.632568359375	915.8939208984376	2360.257568359375	1008.8642578125	0.9584881663322448
2018-03-23_1358_left/020068	5.19	2170.3603515625	937.4346313476562	2270.00732421875	1035.573486328125	0.7197167277336121
2018-03-23_1358_left/020070	1.23	684.4029541015625	925.9984741210938	734.39990234375	975.9165649414062	0.6997134685516357
2018-03-23_1358_left/020070	3.27	2277.345947265625	906.0455932617188	2384.141845703125	999.3890991210938	0.9676234126091005
2018-03-23_1358_left/020070	5.19	2192.09765625	928.8038330078124	2298.05517578125	1021.323974609375	0.7168526649475098
2018-03-23_1358_left/020072	3.27	2299.7705078125	898.7623901367188	2403.95263671875	994.7168579101562	0.9683522582054138
2018-03-23_1358_left/020072	5.19	2204.497802734375	915.492919921875	2324.337158203125	1018.9207763671876	0.7216832637786865
2018-03-23_1358_left/020074	1.23	654.7578735351562	922.8317260742188	702.4198608398438	970.8185424804688	0.6836151480674744
2018-03-23_1358_left/020074	3.27	2323.023681640625	896.5619506835938	2430.232177734375	991.5953979492188	0.9743695855140686
2018-03-23_1358_left/020074	5.19	2227.25048828125	916.0104370117188	2345.45068359375	1018.8421020507812	0.6825482249259949
2018-03-23_1358_left/020076	3.27	2335.909423828125	901.3350830078124	2441.183837890625	1001.7318115234376	0.9711629152297974
2018-03-23_1358_left/020076	5.19	2250.306884765625	921.934814453125	2367.720947265625	1027.5404052734377	0.7848170399665833
2018-03-23_1358_left/020078	1.23	617.9869995117188	926.2713623046876	669.5134887695312	979.27294921875	0.7525065541267395
2018-03-23_1358_left/020078	3.27	2376.177734375	903.7473754882812	2442.02001953125	998.0584106445312	0.9106128215789796
2018-03-23_1358_left/020078	5.19	2272.081298828125	917.1767578125	2391.034423828125	1033.36474609375	0.8276950120925903
2018-03-23_1358_left/020080	5.19	2299.107421875	912.2322998046876	2422.2109375	1030.640625	0.8777634501457214
2018-03-23_1358_left/020080	6.16	2067.27099609375	888.4967651367188	2247.9306640625	925.5664672851562	0.6809548735618591
2018-03-23_1358_left/020082	5.19	2330.3154296875	911.4628295898438	2444.0	1031.1943359375	0.8938300013542175
2018-03-23_1358_left/020082	6.16	2092.708984375	889.8496704101562	2246.72216796875	922.9290161132812	0.6406659483909607
2018-03-23_1358_left/020084	5.19	2367.966064453125	903.2816772460938	2444.0	1043.82861328125	0.9009461998939514
2018-03-23_1358_left/020084	6.16	2077.54638671875	889.534423828125	2235.09423828125	924.3133544921876	0.7270488142967224
2018-03-23_1358_left/020086	1.23	552.0464477539061	928.0952758789062	605.7168579101562	982.1629028320312	0.7421877384185791
2018-03-23_1358_left/020086	5.19	2404.769287109375	910.2711181640624	2444.0	1048.0479736328123	0.6032364964485168
2018-03-23_1358_left/020090	1.23	517.2188720703125	931.4741821289062	570.3306884765625	984.9100952148438	0.6396206617355347
2018-03-23_1358_left/020092	6.16	2131.25	889.6998291015625	2306.30615234375	935.33203125	0.6463854908943176
2018-03-23_1358_left/020094	1.23	478.0584716796875	925.8460083007812	534.715087890625	986.1709594726562	0.7350745201110841
2018-03-23_1358_left/020096	1.23	458.9189147949219	923.0093994140624	513.8245239257811	978.2247314453124	0.6498206257820129
2018-03-23_1358_left/020096	6.16	2143.122314453125	883.5234375	2393.381103515625	928.0340576171876	0.6046375036239624
2018-03-23_1358_left/020098	1.23	436.7618103027344	916.0437622070312	495.3776550292969	976.3566284179688	0.7030025124549866
2018-03-23_1358_left/020098	6.16	2189.917724609375	881.2255859375	2418.288818359375	927.1424560546876	0.6415917277336121
2018-03-23_1358_left/020098	6.16	2172.991455078125	880.2745361328125	2279.709716796875	923.19482421875	0.6214721202850342
2018-03-23_1358_left/020100	1.23	417.8848571777344	909.4090576171876	473.8912048339844	971.9652099609376	0.6243776679039001
2018-03-23_1358_left/020104	1.23	369.8056640625	894.7284545898438	430.50567626953125	959.5192260742188	0.6250891089439392
2018-03-23_1358_left/020106	1.23	346.75396728515625	896.6587524414062	408.17626953125	963.0819702148438	0.646605908870697
2018-03-23_1358_left/020106	3.24	5.678234100341798	945.8742065429688	46.13701248168945	994.7286987304688	0.7519706487655641
2018-03-23_1358_left/020108	1.23	318.2718505859375	896.5138549804688	384.15240478515625	964.9157104492188	0.7164513468742371
2018-03-23_1358_left/020110	1.23	291.2183837890625	892.7128295898438	356.16326904296875	963.2732543945312	0.7292180061340332
2018-03-23_1358_left/020114	1.23	229.9096984863281	887.595703125	304.6035461425781	956.873291015625	0.6218860149383545
2018-03-23_1358_left/020116	5.19	200.3982696533203	875.923828125	276.1077880859375	954.672119140625	0.620942234992981
2018-03-23_1358_left/020118	1.23	165.0737762451172	876.581787109375	244.5129852294922	957.4912109375	0.6442095637321472
2018-03-23_1358_left/020122	1.23	87.5405044555664	871.9920043945312	167.1456298828125	954.2882690429688	0.6114187240600586
2018-03-23_1358_left/020124	1.23	43.55896377563477	867.89990234375	128.57283020019528	956.5404052734376	0.735345721244812
2018-03-23_1358_left/020434	3.24	2352.048095703125	861.90673828125	2395.683349609375	940.939208984375	0.7211965918540955
2018-03-23_1358_left/020522	2.1	1510.1988525390625	836.0501098632812	1567.3463134765625	890.7843627929688	0.7975135445594788
2018-03-23_1358_left/020526	2.1	1535.1490478515625	828.05810546875	1596.9654541015625	887.141357421875	0.7477732300758362
2018-03-23_1358_left/020528	2.1	1549.0390625	829.8395385742188	1610.38671875	885.3309936523438	0.9034663438796996
2018-03-23_1358_left/020530	2.1	1566.6693115234375	828.7666015625	1626.6920166015625	888.7674560546875	0.9609246850013732
2018-03-23_1358_left/020532	2.1	1585.9840087890625	829.7789916992188	1647.8465576171875	883.9594116210938	0.7861291170120239
2018-03-23_1358_left/020534	2.1	1606.8114013671875	827.04541015625	1668.2664794921875	889.0003662109375	0.8314769268035889
2018-03-23_1358_left/020536	2.1	1630.7568359375	819.1087036132812	1691.3984375	885.6378784179688	0.8664422631263733
2018-03-23_1358_left/020538	2.1	1651.14013671875	821.4765625	1714.41357421875	886.0968017578125	0.8215447664260864
2018-03-23_1358_left/020540	2.1	1673.5802001953125	815.724609375	1743.5694580078125	882.2886962890625	0.7975800633430481
2018-03-23_1358_left/020542	2.1	1701.958251953125	797.492431640625	1771.634765625	873.73193359375	0.7978371977806091
2018-03-23_1358_left/020544	2.1	1735.3953857421875	786.1126098632812	1806.3409423828125	853.0861206054688	0.6931722164154053
2018-03-23_1358_left/020546	2.1	1770.0125732421875	773.2612915039062	1844.5833740234373	854.1066284179688	0.7090045213699341
2018-03-23_1358_left/020550	2.1	1850.078369140625	722.178466796875	1944.428955078125	817.740234375	0.6144864559173584
2018-03-23_1358_left/020554	3.27	1949.439208984375	676.1539916992188	2053.993896484375	773.3858032226562	0.6265851259231567
2018-03-23_1358_left/020556	8.2	2042.105712890625	775.7459716796875	2086.446533203125	914.642578125	0.7169023752212524
2018-03-23_1358_left/020558	8.2	2114.697509765625	764.8262939453125	2164.827392578125	902.362548828125	0.7765889167785645
2018-03-23_1358_left/020560	3.27	2167.1904296875	594.0786743164062	2304.46044921875	725.9059448242188	0.6399279236793518
2018-03-23_1358_left/020604	3.27	1538.7340087890625	968.368408203125	1580.6822509765625	1011.0924072265624	0.6312432289123535
2018-03-23_1358_left/020606	3.27	1553.4100341796875	973.9112548828124	1599.4417724609375	1013.412109375	0.8112667202949524
2018-03-23_1358_left/020608	3.27	1562.440673828125	963.0062866210938	1608.547119140625	1009.6006469726562	0.8377273678779602
2018-03-23_1358_left/020610	3.27	1573.6727294921875	970.7109985351562	1621.8138427734375	1014.0182495117188	0.8137629628181458
2018-03-23_1358_left/020612	3.27	1591.0762939453125	968.1029052734376	1636.6800537109375	1014.887451171875	0.8303526639938354
2018-03-23_1358_left/020614	3.27	1605.794921875	970.5737915039062	1653.289306640625	1016.0956420898438	0.9104068279266356
2018-03-23_1358_left/020616	3.27	1619.9437255859375	969.6480712890624	1669.4385986328125	1016.7109375	0.957932710647583
2018-03-23_1358_left/020618	3.27	1636.6583251953125	974.3492431640624	1685.9434814453125	1018.7601318359376	0.9531478881835938
2018-03-23_1358_left/020620	3.27	1650.1446533203125	973.0220947265624	1698.8504638671875	1019.74658203125	0.9832918047904968
2018-03-23_1358_left/020622	3.27	1666.8082275390625	973.636962890625	1720.3555908203125	1020.444580078125	0.9677222967147828
2018-03-23_1358_left/020624	1.23	351.5703430175781	917.4487915039062	403.5533752441406	964.6094360351562	0.6115244626998901
2018-03-23_1358_left/020624	3.27	1684.971923828125	971.2431640625	1740.65478515625	1025.66259765625	0.9740455746650696
2018-03-23_1358_left/020626	1.23	323.7743835449219	908.43359375	376.8606262207031	956.6563720703124	0.6458762884140015
2018-03-23_1358_left/020626	3.27	1701.3096923828125	969.7679443359376	1760.6583251953125	1021.940185546875	0.9736547470092772
2018-03-23_1358_left/020628	1.23	294.918701171875	902.3652954101562	352.6304931640625	954.9396362304688	0.6548172831535339
2018-03-23_1358_left/020628	3.27	1724.2431640625	967.50732421875	1781.5732421875	1022.6309814453124	0.9603149890899658
2018-03-23_1358_left/020630	1.23	265.87042236328125	900.519287109375	322.00384521484375	952.564453125	0.6815156936645508
2018-03-23_1358_left/020630	3.27	1745.357666015625	971.2085571289062	1804.446044921875	1030.1151123046877	0.9803032875061036
2018-03-23_1358_left/020632	1.23	232.0259552001953	909.4005126953124	294.5757141113281	963.76708984375	0.7311398983001709
2018-03-23_1358_left/020632	3.27	1770.795654296875	978.733154296875	1831.542724609375	1038.14794921875	0.9691178798675536
2018-03-23_1358_left/020632	8.2	1776.1455078125	1052.2332763671877	1821.408447265625	1114.8988037109377	0.6382428407669067
2018-03-23_1358_left/020634	1.23	195.50823974609372	901.8743286132812	260.86196899414057	956.0950317382812	0.7431126236915588
2018-03-23_1358_left/020634	3.27	1792.0443115234375	973.582763671875	1862.5091552734373	1040.3404541015623	0.9552542567253112
2018-03-23_1358_left/020634	8.2	1803.175537109375	1052.385986328125	1845.8828125	1124.14013671875	0.739201545715332
2018-03-23_1358_left/020636	1.23	162.74400329589844	899.1466064453125	226.36546325683597	951.8353271484376	0.7791364789009094
2018-03-23_1358_left/020636	3.27	1824.521728515625	975.2520751953124	1891.232666015625	1042.072509765625	0.9558009505271912
2018-03-23_1358_left/020638	1.23	121.50709533691406	887.2911376953125	191.9257049560547	943.1705322265624	0.8429791927337646
2018-03-23_1358_left/020638	3.27	1855.5303955078125	973.6338500976562	1925.0169677734373	1041.8038330078123	0.9107412099838256
2018-03-23_1358_left/020638	8.2	1862.6732177734373	1051.900634765625	1911.0064697265625	1131.072998046875	0.8806396722793579
2018-03-23_1358_left/020640	1.23	82.61154174804688	879.5870361328125	152.16766357421875	939.8336181640624	0.6862473487854004
2018-03-23_1358_left/020640	3.27	1890.3673095703125	967.1137084960938	1963.5433349609373	1044.9503173828123	0.9419805407524108
2018-03-23_1358_left/020640	8.2	1901.0753173828125	1051.73779296875	1946.3123779296875	1134.21435546875	0.8960428237915039
