frame	xtl	ytl	xbr	ybr	class	temporary	data
2018-03-23_1358_left/021032	688	966	717	994	5.19.2	false	
2018-03-02_1400_right/012930	598	917	615	940	3.24	false	
2018-03-02_1400_right/009720	920	951	933	965	5.19.1	false	
2018-03-23_1358_right/014775	1081	928	1102	951	5.20	false	
2018-03-02_1400_left/022652	723	1072	757	1104	4.2.1	false	
2018-03-23_1358_right/014702	1947	731	2076	840	1.17	false	
2018-03-23_1358_left/023445	842	954	860	973	6.10.1	false	
2018-03-23_1358_right/013800	53	956	97	999	3.24	false	
2018-03-07_1406_right/001305	42	899	77	925	5.19.1	false	
2018-03-23_1358_right/024842	1591	774	1693	875	3.28	false	
2018-03-23_1358_right/000930	1884	788	2060	956	5.19.1	false	
2018-03-23_1358_left/015752	1614	951	1641	978	4.1.2	false	
2018-02-07_1349_left/013350	980	965	1001	996	3.1	false	
2018-03-02_1400_right/014882	1460	958	1474	975	5.19.2	false	
2018-03-23_1358_left/002730	1449	991	1476	1017	3.24	false	
2018-03-02_1400_left/008070	844	889	869	911	5.19.1	false	
2018-03-07_1406_left/003962	977	941	997	960	5.19.2	false	
2018-02-16_1503_right/001740	300	882	341	926	5.19.1	false	
2018-03-23_1358_right/015435	2033	782	2133	867	3.24	false	
2018-02-16_1503_right/010860	1326	886	1388	962	2.1	false	
2018-03-02_1400_right/010862	957	889	979	915	5.19.2	false	
2018-03-07_1406_left/001725	2385	825	2447	977	2.4	false	
2018-03-02_1400_left/012152	1716	891	1734	913	3.1	false	
2018-03-23_1358_right/001050	1074	944	1102	998	8.11	false	
2018-03-02_1400_right/008145	1713	926	1752	955	3.24	false	
2018-02-07_1349_left/017192	710	905	783	1108	8.11	false	
2018-03-02_1400_right/014235	2139	651	2199	718	5.19.1	false	
2018-02-16_1503_left/007935	1522	922	1606	1027	2.1	false	
2018-03-07_1406_right/003405	907	905	936	934	5.19.2	false	
2018-03-07_1406_right/000405	1970	752	2105	807	6.10.1	false	
2018-03-02_1400_right/025080	2098	586	2447	791	6.10.1	false	
2018-02-16_1503_left/005730	1660	735	1750	831	5.19.1	false	
2018-03-07_1406_left/002445	1004	856	1041	934	8.11	false	
2018-03-23_1358_left/009450	1560	812	1679	883	6.10.1	false	
2018-03-23_1358_right/001635	1201	948	1216	961	3.27	false	
2018-03-02_1400_right/013560	599	917	615	940	3.24	false	
2018-02-07_1349_left/008970	2006	921	2071	993	3.24	true	
2018-02-07_1349_left/020910	613	990	638	1004	6.10.1	false	
2018-03-23_1358_left/018032	1111	981	1141	1012	5.19.2	false	
2018-02-07_1349_right/013335	885	954	912	992	4.1.6	false	
2018-03-02_1400_right/016052	1795	853	1839	910	1.8	false	
2018-03-02_1400_left/014220	1392	929	1410	952	5.19.2	false	
2018-02-07_1349_left/008070	1606	944	1735	1001	5.15.1	false	
2018-03-23_1358_left/016502	1353	960	1369	976	3.27	false	
