ytl	xtl	ybr	xbr	class	score	frame
879	1761	928	1807	5.19	0.99999726	2018-02-16_1515_left/002012
899	1072	933	1105	5.19	0.99999166	2018-02-16_1515_left/002012
853	795	891	820	5.19	0.9999634	2018-02-16_1515_left/002012
927	1435	976	1472	2.1	0.99707115	2018-02-16_1515_left/002418
958	644	989	674	5.19	0.9999727	2018-02-16_1515_left/003576
895	438	988	492	5.19	0.9999944	2018-02-16_1515_left/002230
952	1087	1027	1145	5.19	0.99995553	2018-02-16_1515_left/002230
875	1696	914	1739	5.19	0.9999813	2018-02-16_1515_left/001985
891	58	932	93	5.19	0.9999516	2018-02-16_1515_left/001985
887	1118	916	1147	5.19	0.9999143	2018-02-16_1515_left/001985
873	2025	960	2116	5.19	0.99982494	2018-02-16_1515_left/001985
991	895	1022	922	5.19	0.98326933	2018-02-16_1515_left/001072
831	800	892	849	4.2	0.99835277	2018-02-16_1515_left/003006
984	975	1021	1009	5.19	0.9998641	2018-02-16_1515_left/001093
929	523	991	583	5.19	0.9989548	2018-02-16_1515_left/001039
720	1082	860	1200	2.1	0.99943954	2018-02-16_1515_left/003103
871	1116	971	1187	4.1	0.98792636	2018-02-16_1515_left/003103
836	271	891	307	5.19	0.999998	2018-02-16_1515_left/002122
680	29	772	102	5.19	0.99999595	2018-02-16_1515_left/002122
809	745	883	810	5.19	0.99999154	2018-02-16_1515_left/002122
901	1377	936	1411	5.19	0.99998844	2018-02-16_1515_left/002122
708	2416	829	2448	5.19	0.9939804	2018-02-16_1515_left/002122
733	899	863	1010	2.1	0.99645585	2018-02-16_1515_left/003096
884	929	977	999	4.1	0.98365974	2018-02-16_1515_left/003096
801	503	876	567	4.2	0.99143666	2018-02-16_1515_left/003673
954	1177	1016	1230	5.19	0.99999785	2018-02-16_1515_left/002215
912	626	982	677	5.19	0.99996173	2018-02-16_1515_left/002215
795	2164	889	2264	5.19	0.9999987	2018-02-16_1515_left/002095
860	851	919	908	5.19	0.99999845	2018-02-16_1515_left/002095
755	301	838	354	5.19	0.9999907	2018-02-16_1515_left/002095
930	1393	963	1425	5.19	0.99997485	2018-02-16_1515_left/002095
880	423	923	452	5.19	0.99990714	2018-02-16_1515_left/002095
921	1675	970	1722	5.19	0.9999869	2018-02-16_1515_left/001141
915	1737	968	1779	5.19	0.9999988	2018-02-16_1515_left/003412
777	347	877	455	2.1	0.99998343	2018-02-16_1515_left/003412
883	375	959	442	4.1	0.988887	2018-02-16_1515_left/003412
883	1513	950	1577	2.1	0.99950695	2018-02-16_1515_left/002468
872	1720	916	1760	5.19	0.99999523	2018-02-16_1515_left/001995
850	858	886	880	5.19	0.99989593	2018-02-16_1515_left/001995
887	1103	918	1136	5.19	0.9998535	2018-02-16_1515_left/001995
911	1429	938	1451	5.19	0.99595344	2018-02-16_1515_left/001995
855	2159	957	2267	5.19	0.98399156	2018-02-16_1515_left/001995
874	1775	951	1848	5.19	0.99996245	2018-02-16_1515_left/002714
910	846	967	908	5.19	0.99979454	2018-02-16_1515_left/002714
954	1492	981	1523	5.19	0.99824893	2018-02-16_1515_left/001826
929	1496	953	1523	5.19	0.9940644	2018-02-16_1515_left/001826
935	616	986	664	5.19	0.9992654	2018-02-16_1515_left/001027
884	1714	954	1778	5.19	0.99998593	2018-02-16_1515_left/002705
913	890	968	939	5.19	0.99701357	2018-02-16_1515_left/002705
900	1431	938	1462	2.1	0.9907891	2018-02-16_1515_left/002386
784	443	927	571	5.19	0.9999784	2018-02-16_1515_left/002761
980	1743	1028	1773	2.1	0.99818975	2018-02-16_1515_left/002761
840	1966	944	2069	5.19	0.99998796	2018-02-16_1515_left/002731
894	748	972	822	5.19	0.99983966	2018-02-16_1515_left/002731
999	1628	1031	1650	2.1	0.9921468	2018-02-16_1515_left/002731
780	1729	897	1832	2.1	0.9998704	2018-02-16_1515_left/002500
986	896	1014	923	5.19	0.9949726	2018-02-16_1515_left/001074
832	579	929	667	5.19	0.99999833	2018-02-16_1515_left/002155
861	43	934	91	5.19	0.9999925	2018-02-16_1515_left/002155
969	1363	1014	1405	5.19	0.99995625	2018-02-16_1515_left/002155
949	1006	989	1036	5.19	0.9996263	2018-02-16_1515_left/002155
979	917	1013	950	5.19	0.9999548	2018-02-16_1515_left/001084
751	651	836	720	4.2	0.991715	2018-02-16_1515_left/003058
959	2099	989	2125	5.19	0.99985516	2018-02-16_1515_left/003648
746	685	836	757	4.2	0.9812837	2018-02-16_1515_left/003061
942	612	996	662	5.19	0.99977225	2018-02-16_1515_left/001028
888	1494	953	1558	2.1	0.99822766	2018-02-16_1515_left/002462
939	397	973	430	5.19	0.9991819	2018-02-16_1515_left/003356
916	1429	960	1463	2.1	0.991561	2018-02-16_1515_left/002401
888	878	982	956	5.19	0.9999902	2018-02-16_1515_left/002253
771	881	869	957	4.2	0.977453	2018-02-16_1515_left/002253
724	815	846	930	2.1	0.999907	2018-02-16_1515_left/003438
861	835	939	916	4.1	0.9883862	2018-02-16_1515_left/003438
810	529	878	586	4.2	0.99048156	2018-02-16_1515_left/003026
881	534	1075	576	8.22	0.9890265	2018-02-16_1515_left/003026
977	898	1010	932	5.19	0.9999192	2018-02-16_1515_left/001076
870	1797	922	1843	5.19	0.99999833	2018-02-16_1515_left/002023
893	1053	930	1090	5.19	0.999982	2018-02-16_1515_left/002023
849	757	886	781	5.19	0.9999113000000002	2018-02-16_1515_left/002023
921	1426	954	1449	5.19	0.98826116	2018-02-16_1515_left/002023
895	1427	925	1449	5.19	0.9795858	2018-02-16_1515_left/002023
936	489	970	525	5.19	0.99762756	2018-02-16_1515_left/003360
856	1848	911	1905	5.19	0.99999714	2018-02-16_1515_left/002036
836	698	883	726	5.19	0.9999964	2018-02-16_1515_left/002036
888	1029	927	1068	5.19	0.99995613	2018-02-16_1515_left/002036
927	1426	953	1449	5.19	0.993893	2018-02-16_1515_left/002036
909	1430	948	1464	2.1	0.977927	2018-02-16_1515_left/002398
920	1430	962	1464	2.1	0.9986883	2018-02-16_1515_left/002403
930	1615	961	1653	5.19	0.999713	2018-02-16_1515_left/001893
959	1302	1009	1349	5.19	0.9999962	2018-02-16_1515_left/002179
765	295	887	402	5.19	0.9999939	2018-02-16_1515_left/002179
927	891	974	922	5.19	0.99931943	2018-02-16_1515_left/002179
881	1872	937	1930	2.4	0.9979305	2018-02-16_1515_left/002817
863	1296	915	1341	4.2	0.9985688	2018-02-16_1515_left/002981
725	903	829	987	4.2	0.9943452	2018-02-16_1515_left/003073
942	684	989	734	5.19	0.9986755	2018-02-16_1515_left/001015
964	711	1007	750	5.19	0.9934907	2018-02-16_1515_left/001002
988	1778	1033	1813	2.1	0.9994417	2018-02-16_1515_left/002770
732	236	923	394	5.19	0.9979742	2018-02-16_1515_left/002770
907	1760	970	1820	5.19	0.9999093	2018-02-16_1515_left/001949
772	1762	838	1821	2.4	0.999519	2018-02-16_1515_left/001949
894	1635	923	1666	5.19	0.9989441	2018-02-16_1515_left/001949
896	1162	921	1186	5.19	0.9982918	2018-02-16_1515_left/001949
873	1547	912	1584	2.4	0.9750553	2018-02-16_1515_left/001857
859	972	907	1015	5.19	0.9999993	2018-02-16_1515_left/002058
